epoch,loss
1,1.711442720232986
2,1.3930282029579943
3,1.2324779258938285
4,1.1286713767239427
5,1.0669613358542676
6,1.029314260783158
7,0.9968006648416594
8,0.9750838908623523
9,0.9618258757854071
10,0.9307998423501262
11,0.9213877188877797
12,0.8999564492796349
13,0.8904309441724162
14,0.8830450411856644
15,0.8687306764557605
16,0.8627844255740248
17,0.8581479947398029
18,0.846080200878654
19,0.8426007539268554
20,0.8319137532879987
21,0.8341947540523499
22,0.8279257149208249
23,0.8237443158007044
24,0.8238468644187207
25,0.8116901418355507
26,0.8120663241138608
27,0.8088563521077313
28,0.8016842462885099
29,0.7990032190412987
30,0.7978988313299464
31,0.797063957049152
32,0.7954528955962714
33,0.7949557107264601
34,0.7906225187571969
35,0.7815603646706408
36,0.7811204654963937
37,0.7798473116919751
38,0.773351246916403
39,0.7832340560560151
40,0.7811405888692601
