epoch,loss
1,1.6995110361594854
2,1.344448765431802
3,1.1796384519479406
4,1.051020977534647
5,0.9554570397054116
6,0.8807793621003158
7,0.8558600202320129
8,0.8079347084826372
9,0.7809994915338951
10,0.7508571882416882
11,0.7301312842237668
12,0.7248566267997261
13,0.7020110710868686
14,0.6840801860873155
15,0.6547237838816455
16,0.6491045046040392
17,0.6236356928592591
18,0.6199992174707999
19,0.6029633701316953
20,0.5920997550637703
21,0.5854592196584687
22,0.5764496234927591
23,0.5617512272098871
24,0.5532110889596263
25,0.5396308098721692
26,0.5280925559950626
27,0.5221658801938606
28,0.5189954284138567
29,0.5250040636522564
30,0.49824517589854445
31,0.48331616983169645
32,0.4868500049658648
33,0.48206082361889635
34,0.4717496398865707
35,0.4619423707169811
36,0.4456627390046758
37,0.45886821141393164
38,0.43265974298706206
39,0.429358848201947
40,0.4284867395566204
